Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Support Item Number,Support Item Name,Unit,Quote,"Price Limit:  NT - SA 
TAS-WA
(MMM 1-5)   ","Price Limit: ACT - NSW
QLD - VIC
(MMM 1-5)   ","Price Limit:  National
Non-Remote
(MMM 1-5)   ","Price Limit:  National Remote
(MMM 6)   ","Price Limit:  National Very Remote
(MMM 7)   "
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life,01_851_0115_1_1,Individualised Living Options - Support Model,W,Y,,,,,
108,Assistance With Travel/Transport Arrangements,2,Transport,02_050_0108_1_1,Specialised Transport To School/Educational Facility/Employment/Community,D,Y,,,,,
108,Assistance With Travel/Transport Arrangements,2,Transport,02_051_0108_1_1,Transport,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_040000111_0103_1_1,High Cost Disability-Related Health Consumables,E,Y,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_040000919_0103_1_1,Low Cost Disability-Related Health Consumables,E,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_050903053_0103_1_1,Incontinence Alarms,E,N,,,,,
135,Customised Prosthetics,3,Consumables,03_060000911_0135_1_1,Low Cost AT For Prosthetics And Orthotics,E,N,,,$100.00,$100.00,$100.00
121,Interpreting And Translation,3,Consumables,03_089_0121_1_1,Auslan Or Signed English Training,H,N,,,,,
121,Interpreting And Translation,3,Consumables,03_090_0121_1_1,Interpreting And Translating,H,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_090000911_0103_1_1,Low Cost AT For Personal Care And Safety,E,N,,,$100.00,$100.00,$100.00
121,Interpreting And Translation,3,Consumables,03_091_0121_1_1,Telephone Or Video Interpreting,H,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092403054_0103_1_1,Continence Package A - Child - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092403055_0103_1_1,Continence Package A - Adult - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092406057_0103_1_1,Continence Package B - Intermittent Mild - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092406058_0103_1_1,Continence Package C - Intermittent Moderate - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092406059_0103_1_1,Continence Package D - Intermittent Higher Needs - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092406061_0103_1_1,Adult Intermittent Catheters Standard 3/Day - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092406062_0103_1_1,Adult Intermittent Catheters Standard 4/Day - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092406063_0103_1_1,Adult Intermittent Catheters Standard 6/Day - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092488056_0103_1_1,Continence Products Urinary - Other For Child,E,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092489060_0103_1_1,Continence Products Urinary - Other For Adult,E,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092718064_0103_1_1,Continence Package E - External,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093012065_0103_1_1,Child Nappy Single-Use 3/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093012066_0103_1_1,Child Nappy Single-Use 4/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093012067_0103_1_1,Child Nappy Single-Use 6/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093012068_0103_1_1,Child Nappy Single-Use 12/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093015069_0103_1_1,Washable Incontinence Products For Children,E,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093018070_0103_1_1,Single-Use Inserts/Pads - Adult 3/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093018071_0103_1_1,Single-Use Inserts/Pads - Adult 4/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093018072_0103_1_1,Single-Use Inserts/Pads - Adult 6/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093018073_0103_1_1,Single-Use Inserts/Pads - Adult 12/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093021074_0103_1_1,Adult Absorbent Pull Up Or Brief 3/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093021075_0103_1_1,Adult Absorbent Pull Up Or Brief 4/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093021076_0103_1_1,Adult Absorbent Pull Up Or Brief 6/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093021077_0103_1_1,Adult Absorbent Pull Up Or Brief 12/Day - Annual Supply,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093036132_0103_1_1,Washable Incontinence Pants For Adults,E,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093045133_0103_1_1,Non-Body-Worn Washable Products For Absorbing Urine And Faeces,E,N,,,,,
105,Personal Mobility Equipment,3,Consumables,03_120000911_0105_1_1,Low Cost AT For Personal Mobility,E,N,,,$100.00,$100.00,$100.00
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930078_0103_1_1,HEN Pump Accessory - Items Required For Syringe Feeding - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930079_0103_1_1,HEN Pump With Associated Consumables (Non-Syringe Feed) - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930080_0103_1_1,HEN Bolus Syringe Only - Annual Amount,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930081_0103_1_1,Additional Gastrostomy Devices- 3 Annual,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930082_0103_1_1,Additional Extension Sets For Bolus Feeding - 10/Annual,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930083_0103_1_1,Additional Extension Sets For Pump Feeding - 10/Annual,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930084_0103_1_1,Additional Giving Sets - 270/Annual,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930085_0103_1_1,Additional Containers - 50/Annual,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930086_0103_1_1,Additional Bolus Syringes - 100/Annual,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930087_0103_1_1,Additional Water Flush Syringes - 100/Annual,YR,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930088_0103_1_1,Other HEN Equipment Including Additional Cost Of Food When Necessary,E,N,,,,,
113,Vision Equipment,3,Consumables,03_220300911_0113_1_1,Low Cost AT For Vision Related AT,E,N,,,$100.00,$100.00,$100.00
122,Hearing Equipment,3,Consumables,03_220600911_0122_1_1,Low Cost AT For Hearing Related AT,E,N,,,$100.00,$100.00,$100.00
124,Communication And Information Equipment,3,Consumables,03_222100911_0124_1_1,Low Cost AT For Communication Or Cognitive Support,E,N,,,$100.00,$100.00,$100.00
103,Assistive Products For Personal Care And Safety,3,Consumables,03_501509092_0103_1_1,HEN Equipment Repairs,E,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_710400001_0103_1_1,Disability-Related Health Equipment and Consumables Delivery,E,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_710400002_0103_1_1,Disability-Related Health Equipment and Consumables - Set Up/Training,E,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_710930093_0103_1_1,Continence Aids Delivery - Non Metropolitan,E,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_710930094_0103_1_1,Continence Aids Delivery - Metropolitan,E,N,,,,,
103,Assistive Products For Personal Care And Safety,3,Consumables,03_711509095_0103_1_1,HEN Equipment Delivery,E,N,,,,,
130,Assistance Animals,3,Consumables,03_900100155_0130_1_1,Assistance Dog (Including Guide Dog) Ongoing Costs,MON,N,,,$226.88,$226.88,$226.88
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_049_0104_1_1,Establishment Fee For Personal Care/Participation,E,N,,,$543.00,$760.20,$814.50
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_049_0125_1_1,Establishment Fee For Personal Care/Participation,E,N,,,$543.00,$760.20,$814.50
133,Specialised Supported Employment,4,Assistance with social and community participation,04_049_0133_5_1,Establishment Fee For Personal Care/Participation,E,N,,,$543.00,$760.20,$814.50
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_049_0136_1_1,Establishment Fee For Personal Care/Participation,E,N,,,$543.00,$760.20,$814.50
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_102_0125_6_1,Access Community Social And Rec Activities - Standard - Public Holiday,H,N,,,$119.94,$167.92,$179.91
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_102_0125_6_1_T,Access Community Social And Rec Activities - Public Holiday - TTP,H,N,,,$127.14,$178.00,$190.71
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_102_0136_6_1,Group Activities - Standard - Weekday Daytime,H,N,,,$54.30,$76.02,$81.45
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_102_0136_6_1_T,Group Activities - Standard - Weekday Daytime - TTP,H,N,,,$57.56,$80.58,$86.34
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_103_0125_6_1,Access Community Social And Rec Activities - Standard - Weekday Evening,H,N,,,$59.77,$83.68,$89.66
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_103_0125_6_1_T,Access Community Social And Rec Activities - Standard - Weekday Evening - TTP,H,N,,,$63.36,$88.70,$95.04
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_103_0136_6_1,Group Activities - Standard - Weekday Evening,H,N,,,$59.77,$83.68,$89.66
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_103_0136_6_1_T,Group Activities - Standard - Weekday Evening - TTP,H,N,,,$63.36,$88.70,$95.04
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_104_0125_6_1,Access Community Social And Rec Activities - Weekday Daytime,H,N,,,$54.30,$76.02,$81.45
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_104_0125_6_1_T,Access Community Social And Rec Activities - Weekday Daytime - TTP,H,N,,,$57.56,$80.58,$86.34
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_104_0136_6_1,Group Activities - Standard - Saturday,H,N,,,$76.18,$106.65,$114.27
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_104_0136_6_1_T,Group Activities - Standard - Saturday - TTP,H,N,,,$80.75,$113.05,$121.13
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_105_0125_6_1,Access Community Social And Rec Activities - Standard - Saturday,H,N,,,$76.18,$106.65,$114.27
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_105_0125_6_1_T,Access Community Social And Rec Activities - Standard - Saturday - TTP,H,N,,,$80.75,$113.05,$121.13
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_105_0136_6_1,Group Activities - Standard - Sunday,H,N,,,$98.06,$137.28,$147.09
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_105_0136_6_1_T,Group Activities - Standard - Sunday - TTP,H,N,,,$103.94,$145.52,$155.91
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_106_0125_6_1,Access Community Social And Rec Activities - Standard - Sunday,H,N,,,$98.06,$137.28,$147.09
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_106_0125_6_1_T,Access Community Social And Rec Activities - Standard - Sunday - TTP,H,N,,,$103.94,$145.52,$155.91
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_106_0136_6_1,Group Activities - Standard - Public Holiday,H,N,,,$119.94,$167.92,$179.91
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_106_0136_6_1_T,Group Activities - Standard - Public Holiday - TTP,H,N,,,$127.14,$178.00,$190.71
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_111_0136_6_1,Group Activities In The Community - 1:2 - Standard - Weekday Daytime,H,N,,,$30.41,$42.57,$45.62
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_111_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Weekday Daytime - TTP,H,N,,,$32.23,$45.12,$48.35
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_112_0136_6_1,Group Activities In The Community - 1:2 - Standard - Saturday,H,N,,,$42.66,$59.72,$63.99
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_112_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Saturday - TTP,H,N,,,$45.22,$63.31,$67.83
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_113_0136_6_1,Group Activities In The Community - 1:2 - Standard - Sunday,H,N,,,$54.91,$76.87,$82.37
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_113_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Sunday - TTP,H,N,,,$58.21,$81.49,$87.32
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_114_0136_6_1,Group Activities In The Community - 1:2 - Standard - Weekday Afternoon,H,N,,,$33.47,$46.86,$50.21
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_114_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Weekday Afternoon - TTP,H,N,,,$35.48,$49.67,$53.22
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_116_0104_6_1,Group Activities In The Community - 1:2 - Complex - Weekday Daytime,H,N,,,$32.86,$46.00,$49.29
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_116_0104_6_1_T,Group Activities In The Community - 1:2 - Complex - Weekday Daytime - TTP,H,N,,,$34.69,$48.57,$52.04
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_117_0104_6_1,Group Activities In The Community - 1:2 - Complex - Saturday,H,N,,,$46.10,$64.54,$69.15
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_117_0104_6_1_T,Group Activities In The Community - 1:2 - Complex - Saturday - TTP,H,N,,,$48.66,$68.12,$72.99
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_118_0104_6_1,Group Activities In The Community - 1:2 - Complex - Sunday,H,N,,,$59.34,$83.08,$89.01
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_118_0104_6_1_T,Group Activities In The Community - 1:2 - Complex - Sunday - TTP,H,N,,,$62.63,$87.68,$93.95
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_119_0104_6_1,Group Activities In The Community - 1:2 - Complex - Weekday Afternoon,H,N,,,$36.17,$50.64,$54.26
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_119_0104_6_1_T,Group Activities In The Community - 1:2 - Complex - Weekday Afternoon - TTP,H,N,,,$38.18,$53.45,$57.27
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_120_0136_6_1,Group Activities In The Community - 1:3 - Standard - Weekday Daytime,H,N,,,$22.44,$31.42,$33.66
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_120_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Weekday Daytime - TTP,H,N,,,$23.79,$33.31,$35.69
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_121_0136_6_1,Group Activities In The Community - 1:3 - Standard - Saturday,H,N,,,$31.49,$44.09,$47.24
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_121_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Saturday - TTP,H,N,,,$33.38,$46.73,$50.07
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_122_0136_6_1,Group Activities In The Community - 1:3 - Standard - Sunday,H,N,,,$40.53,$56.74,$60.80
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_122_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Sunday - TTP,H,N,,,$42.96,$60.14,$64.44
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_123_0136_6_1,Group Activities In The Community - 1:3 - Standard - Weekday Afternoon,H,N,,,$24.70,$34.58,$37.05
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_123_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Weekday Afternoon - TTP,H,N,,,$26.19,$36.67,$39.29
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_124_0104_6_1,Group Activities In The Community - 1:3 - Complex - Weekday Daytime,H,N,,,$24.25,$33.95,$36.38
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_124_0104_6_1_T,Group Activities In The Community - 1:3 - Complex - Weekday Daytime - TTP,H,N,,,$25.60,$35.84,$38.40
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_125_0104_6_1,Group Activities In The Community - 1:3 - Complex - Saturday,H,N,,,$34.03,$47.64,$51.05
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_125_0104_6_1_T,Group Activities In The Community - 1:3 - Complex - Saturday - TTP,H,N,,,$35.91,$50.27,$53.87
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_126_0104_6_1,Group Activities In The Community - 1:3 - Complex - Sunday,H,N,,,$43.80,$61.32,$65.70
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_126_0104_6_1_T,Group Activities In The Community - 1:3 - Complex - Sunday - TTP,H,N,,,$46.23,$64.72,$69.35
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_127_0104_6_1,Group Activities In The Community - 1:3 - Complex - Weekday Afternoon,H,N,,,$26.70,$37.38,$40.05
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_127_0104_6_1_T,Group Activities In The Community - 1:3 - Complex - Weekday Afternoon - TTP,H,N,,,$28.18,$39.45,$42.27
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_128_0136_6_1,Group Activities In The Community - 1:2 - Standard - Public Holiday,H,N,,,$67.17,$94.04,$100.76
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_128_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Public Holiday - TTP,H,N,,,$71.20,$99.68,$106.80
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_129_0136_6_1,Group Activities In The Community - 1:3 - Standard - Public Holiday,H,N,,,$49.58,$69.41,$74.37
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_129_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Public Holiday - TTP,H,N,,,$52.55,$73.57,$78.83
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_130_0104_6_1,Group Activities In The Community - 1:2 - Complex - Public Holiday,H,N,,,$72.58,$101.61,$108.87
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_130_0104_6_1_T,Group Activities In The Community - 1:2 - Complex - Public Holiday - TTP,H,N,,,$76.61,$107.25,$114.92
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_131_0104_6_1,Group Activities In The Community - 1:3 - Complex - Public Holiday,H,N,,,$53.57,$75.00,$80.36
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_131_0104_6_1_T,Group Activities In The Community - 1:3 - Complex - Public Holiday - TTP,H,N,,,$56.55,$79.17,$84.83
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_136_0136_6_1,Group Activities In The Community - 1:4 - Standard - Weekday Daytime,H,N,,,$18.46,$25.84,$27.69
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_136_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Weekday Daytime - TTP,H,N,,,$19.57,$27.40,$29.36
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_137_0136_6_1,Group Activities In The Community - 1:4 - Standard - Weekday Afternoon,H,N,,,$20.32,$28.45,$30.48
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_137_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Weekday Afternoon - TTP,H,N,,,$21.54,$30.16,$32.31
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_138_0136_6_1,Group Activities In The Community - 1:4 - Standard - Saturday,H,N,,,$25.90,$36.26,$38.85
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_138_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Saturday - TTP,H,N,,,$27.46,$38.44,$41.19
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_139_0136_6_1,Group Activities In The Community - 1:4 - Standard - Sunday,H,N,,,$33.34,$46.68,$50.01
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_139_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Sunday - TTP,H,N,,,$35.34,$49.48,$53.01
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_140_0136_6_1,Group Activities In The Community - 1:4 - Standard - Public Holiday,H,N,,,$40.78,$57.09,$61.17
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_140_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Public Holiday - TTP,H,N,,,$43.23,$60.52,$64.85
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_141_0136_6_1,Group Activities In The Community - 1:5 - Standard - Weekday Daytime,H,N,,,$16.07,$22.50,$24.11
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_141_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Weekday Daytime - TTP,H,N,,,$17.04,$23.86,$25.56
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_142_0136_6_1,Group Activities In The Community - 1:5 - Standard - Weekday Afternoon,H,N,,,$17.69,$24.77,$26.54
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_142_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Weekday Afternoon - TTP,H,N,,,$18.75,$26.25,$28.13
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_143_0136_6_1,Group Activities In The Community - 1:5 - Standard - Saturday,H,N,,,$22.55,$31.57,$33.83
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_143_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Saturday - TTP,H,N,,,$23.90,$33.46,$35.85
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_144_0136_6_1,Group Activities In The Community - 1:5 - Standard - Sunday,H,N,,,$29.03,$40.64,$43.55
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_144_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Sunday - TTP,H,N,,,$30.77,$43.08,$46.16
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_145_0136_6_1,Group Activities In The Community - 1:5 - Standard - Public Holiday,H,N,,,$35.50,$49.70,$53.25
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_145_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Public Holiday - TTP,H,N,,,$37.63,$52.68,$56.45
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_146_0104_6_1,Group Activities In The Community - 1:4 - Complex - Weekday Daytime,H,N,,,$19.95,$27.93,$29.93
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_146_0104_6_1_T,Group Activities In The Community - 1:4 - Complex - Weekday Daytime - TTP,H,N,,,$21.06,$29.48,$31.59
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_147_0104_6_1,Group Activities In The Community - 1:4 - Complex - Weekday Afternoon,H,N,,,$21.96,$30.74,$32.94
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_147_0104_6_1_T,Group Activities In The Community - 1:4 - Complex - Weekday Afternoon - TTP,H,N,,,$23.18,$32.45,$34.77
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_148_0104_6_1,Group Activities In The Community - 1:4 - Complex - Saturday,H,N,,,$27.99,$39.19,$41.99
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_148_0104_6_1_T,Group Activities In The Community - 1:4 - Complex - Saturday - TTP,H,N,,,$29.54,$41.36,$44.31
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_149_0104_6_1,Group Activities In The Community - 1:4 - Complex - Sunday,H,N,,,$36.03,$50.44,$54.05
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_149_0104_6_1_T,Group Activities In The Community - 1:4 - Complex - Sunday - TTP,H,N,,,$38.03,$53.24,$57.05
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_150_0104_6_1,Group Activities In The Community - 1:4 - Complex - Public Holiday,H,N,,,$44.07,$61.70,$66.11
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_150_0104_6_1_T,Group Activities In The Community - 1:4 - Complex - Public Holiday - TTP,H,N,,,$46.52,$65.13,$69.78
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_151_0104_6_1,Group Activities In The Community - 1:5 - Complex - Weekday Daytime,H,N,,,$17.37,$24.32,$26.06
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_151_0104_6_1_T,Group Activities In The Community - 1:5 - Complex - Weekday Daytime - TTP,H,N,,,$18.33,$25.66,$27.50
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_152_0104_6_1,Group Activities In The Community - 1:5 - Complex - Weekday Afternoon,H,N,,,$19.12,$26.77,$28.68
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_152_0104_6_1_T,Group Activities In The Community - 1:5 - Complex - Weekday Afternoon - TTP,H,N,,,$20.18,$28.25,$30.27
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_153_0104_6_1,Group Activities In The Community - 1:5 - Complex - Saturday,H,N,,,$24.37,$34.12,$36.56
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_153_0104_6_1_T,Group Activities In The Community - 1:5 - Complex - Saturday - TTP,H,N,,,$25.72,$36.01,$38.58
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_154_0104_6_1,Group Activities In The Community - 1:5 - Complex - Sunday,H,N,,,$31.36,$43.90,$47.04
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_154_0104_6_1_T,Group Activities In The Community - 1:5 - Complex - Sunday - TTP,H,N,,,$33.10,$46.34,$49.65
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_155_0104_6_1,Group Activities In The Community - 1:5 - Complex - Public Holiday,H,N,,,$38.36,$53.70,$57.54
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_155_0104_6_1_T,Group Activities In The Community - 1:5 - Complex - Public Holiday - TTP,H,N,,,$40.50,$56.70,$60.75
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_160_0136_6_1,Group Activities In A Centre - 1:1 - Standard - Weekday,H,N,,,$56.45,$79.03,$84.68
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_160_0136_6_1_T,Group Activities In A Centre - 1:1 - Standard - Weekday Daytime - TTP,H,N,,,$59.71,$83.59,$89.57
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_161_0136_6_1,Group Activities In A Centre - 1:1 - Standard - Weekday Afternoon,H,N,,,$61.92,$86.69,$92.88
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_161_0136_6_1_T,Group Activities In A Centre - 1:1 - Standard - Weekday Afternoon - TTP,H,N,,,$65.51,$91.71,$98.27
